iter	Passed	Remaining
563	1334	1031
564	1336	1028
565	1340	1027
566	1341	1024
567	1343	1022
568	1346	1019
569	1347	1016
570	1349	1013
571	1352	1011
572	1353	1008
573	1355	1005
574	1356	1002
575	1358	1000
576	1360	997
577	1363	995
578	1366	993
579	1367	990
580	1368	987
581	1371	984
582	1374	983
583	1376	980
584	1381	980
585	1383	977
586	1387	975
587	1389	973
588	1391	970
589	1393	968
590	1402	970
591	1406	969
592	1408	966
593	1409	963
594	1412	961
595	1413	958
596	1415	955
597	1416	952
598	1418	949
599	1419	946
600	1421	943
601	1422	940
602	1427	939
603	1429	936
604	1430	934
605	1432	931
606	1434	928
607	1436	926
608	1439	924
609	1441	921
610	1443	918
611	1444	916
612	1449	914
613	1450	912
614	1452	909
615	1454	906
616	1455	903
617	1458	901
618	1459	898
619	1462	896
620	1464	893
621	1466	891
622	1468	888
623	1469	885
624	1471	882
625	1474	880
626	1475	877
627	1477	875
628	1478	872
629	1480	869
630	1481	866
631	1484	864
632	1487	862
633	1490	860
634	1492	857
635	1493	854
636	1495	852
637	1497	849
638	1499	847
639	1505	846
640	1507	844
641	1509	841
642	1510	838
643	1511	835
644	1513	832
645	1516	830
646	1518	828
647	1520	825
648	1524	824
649	1527	822
650	1529	819
651	1533	818
652	1538	817
653	1540	814
654	1542	812
655	1545	810
656	1546	807
657	1548	804
658	1550	802
659	1551	799
660	1553	796
661	1554	793
662	1555	790
663	1557	788
664	1560	785
665	1561	783
666	1562	780
667	1564	777
668	1566	774
669	1567	772
670	1569	769
671	1571	766
672	1572	764
673	1576	762
674	1577	759
675	1579	756
676	1581	754
677	1583	752
678	1586	750
679	1588	747
680	1591	745
681	1593	742
682	1594	740
683	1596	737
684	1597	734
685	1599	732
686	1601	729
687	1604	727
688	1608	725
689	1610	723
690	1612	721
691	1613	718
692	1615	715
693	1616	712
694	1617	709
695	1622	708
696	1623	705
697	1625	703
698	1627	700
699	1629	698
700	1631	695
701	1632	693
702	1635	690
703	1636	688
704	1638	685
705	1640	682
706	1641	680
707	1643	677
708	1644	674
709	1645	672
710	1647	669
711	1649	667
712	1651	664
713	1652	661
714	1654	659
715	1655	656
716	1658	654
717	1659	651
718	1661	649
719	1662	646
720	1665	644
721	1667	642
722	1670	640
723	1672	637
724	1676	635
725	1677	633
726	1678	630
727	1681	628
728	1682	625
729	1683	622
730	1686	620
731	1688	618
732	1689	615
733	1691	612
734	1692	610
735	1694	607
736	1700	606
737	1703	604
738	1704	602
739	1706	599
740	1707	596
741	1708	594
742	1712	592
743	1713	589
744	1715	587
745	1716	584
746	1717	581
747	1720	579
748	1722	577
749	1723	574
750	1726	572
751	1727	569
752	1729	567
753	1731	565
754	1735	563
755	1739	561
756	1741	559
757	1743	556
758	1745	554
759	1749	552
760	1750	549
761	1752	547
762	1754	544
763	1756	542
764	1758	540
765	1759	537
766	1762	535
767	1766	533
768	1769	531
769	1771	529
770	1772	526
771	1774	524
772	1776	521
773	1778	519
774	1780	516
775	1781	514
776	1788	513
777	1790	510
778	1792	508
779	1794	506
780	1795	503
781	1797	501
782	1800	499
783	1802	496
784	1803	494
785	1805	491
786	1807	489
787	1809	486
788	1811	484
789	1812	481
790	1816	480
791	1818	477
792	1821	475
793	1822	472
794	1824	470
795	1836	470
796	1846	470
797	1849	468
798	1852	466
799	1854	463
800	1857	461
801	1875	463
802	1882	461
803	1883	459
804	1886	457
805	1888	454
806	1890	452
807	1891	449
808	1894	447
809	1896	444
810	1897	442
811	1899	439
812	1902	437
813	1903	435
814	1905	432
815	1908	430
816	1909	427
817	1911	425
818	1915	423
819	1917	420
820	1919	418
821	1920	415
822	1923	413
823	1925	411
824	1927	408
825	1931	406
826	1932	404
827	1934	401
828	1935	399
829	1936	396
830	1939	394
831	1941	392
832	1944	389
833	1946	387
834	1948	385
835	1949	382
836	1955	380
837	1958	378
838	1960	376
839	1962	373
840	1963	371
841	1965	368
842	1968	366
843	1969	364
844	1971	361
845	1974	359
846	1976	357
847	1978	354
848	1979	352
849	1985	350
850	1988	348
851	1991	346
852	1994	343
853	1995	341
854	1999	339
855	2001	336
856	2003	334
857	2005	331
858	2006	329
859	2008	326
860	2009	324
861	2010	321
862	2014	319
863	2016	317
864	2018	315
865	2021	312
866	2023	310
867	2024	307
868	2028	305
869	2031	303
870	2033	301
871	2035	298
872	2037	296
873	2039	294
874	2042	291
875	2044	289
876	2046	286
877	2050	284
878	2051	282
879	2053	279
880	2054	277
881	2057	275
882	2061	273
883	2063	270
884	2065	268
885	2067	265
886	2068	263
887	2069	261
888	2071	258
889	2076	256
890	2077	254
891	2078	251
892	2080	249
893	2081	246
894	2083	244
895	2085	242
896	2086	239
897	2088	237
898	2089	234
899	2092	232
900	2095	230
901	2097	227
902	2098	225
903	2100	223
904	2104	220
905	2107	218
906	2109	216
907	2111	213
908	2113	211
909	2114	209
910	2118	206
911	2124	205
912	2127	202
913	2129	200
914	2133	198
915	2135	195
916	2136	193
917	2139	191
918	2142	188
919	2143	186
920	2145	184
921	2148	181
922	2151	179
923	2153	177
924	2155	174
925	2157	172
926	2159	170
927	2160	167
928	2162	165
929	2165	163
930	2167	160
931	2169	158
932	2171	155
933	2172	153
934	2174	151
935	2175	148
936	2177	146
937	2179	144
938	2181	141
939	2184	139
940	2187	137
941	2189	134
942	2190	132
943	2193	130
944	2197	127
945	2200	125
946	2205	123
947	2210	121
948	2212	118
949	2214	116
950	2216	114
951	2218	111
952	2220	109
953	2223	107
954	2228	104
955	2230	102
956	2232	100
957	2233	97
958	2235	95
959	2239	93
960	2241	90
961	2243	88
962	2244	86
963	2245	83
964	2247	81
965	2249	79
966	2252	76
967	2255	74
968	2256	72
969	2258	69
970	2261	67
971	2262	65
972	2265	62
973	2270	60
974	2274	58
975	2276	55
976	2281	53
977	2284	51
978	2286	49
979	2287	46
980	2289	44
981	2291	42
982	2293	39
983	2295	37
984	2296	34
985	2299	32
986	2302	30
987	2303	27
988	2305	25
989	2307	23
990	2310	20
991	2311	18
992	2312	16
993	2314	13
994	2316	11
995	2318	9
996	2319	6
997	2321	4
998	2322	2
999	2324	0
